id,author,title,journal_book,year,type,doi,link,
20,"Tresna, S.T., Anggriani, N., Supriatna, A.K.",Study of mathematical modeling for plant disease transmission: a systematic literature review during 2012-2022,ambura Journal of Biomathematics (JJBM),2023,journal,10.34312/jjbm.v4i1.18443,https://doi.org/10.34312/jjbm.v4i1.18443,
20,"Basir, F.A.",Role of the whitefly maturation period on mosaic disease propagation in Jatropha curcas plant,Frontiers in Applied Mathematics and Statistics,2023,journal,10.3389/fams.2023.1238497,https://doi.org/10.3389/fams.2023.1238497,
20,"Syrti, B.M., Devi, A.","Optimising plant epidemic control: a mathematical model integrating susceptible and infectives plants, and herbivores with pesticide intervention",Communications in Mathematical Biology and Neuroscience,2025,journal,10.28919/cmbn/9476,https://doi.org/10.28919/cmbn/9476,
22,"Patel, Z., Patel, M., Vyas, T.K.","Diversity of Avifauna in the Campus of Navsari Agricultural University, Navsari, Gujarat, India",Asian Journal of Environment & Ecology,2025,journal,10.9734/ajee/2025/v24i1649,https://doi.org/10.9734/ajee/2025/v24i1649,
22,"Ghosh, T., Sardar, S., Sarkar, S.","Diversity of Avian Fauna in and Around Kalyani, a Sub-Urban City near Kolkata, West Bengal, India",International Journal of Scientific Research inBiological Sciences,2024,journal,10.26438/ijsrbs/v11i1.111,https://doi.org/10.26438/ijsrbs/v11i1.111,
22,"Vanita, A.K.","Avifaunal Species Richness and Composition at Masani Barrage, District Rewari, Haryana",Environment and Ecology,2024,journal,10.60151/envec/LMFC9656,https://doi.org/10.60151/envec/LMFC9656,
22,"Tandan, H.N., Shrimali, C., Sultana, R.","Avifaunal Diversity of Sant Guru Ghasidas Government Post Graduate College Campus, Kurud, Chhattisgarh, India",Research Journal of Science and Technology,2024,journal,10.52711/2349-2988.2024.00033,https://doi.org/10.52711/2349-2988.2024.00033,
22,"Rumnong, L.R.L., Lal, Y., Sones, C., Wani, A.M.","Study on bird diversity of different landscapes in Shillong city, Meghalaya",International Journal of Farm Sciences,2025,journal,10.5958/2250-0499.2025.00010.X,https://doi.org/10.5958/2250-0499.2025.00010.X,
22,"Roy, U.S.","Diversity of Termites from Durgapur Government College Campus, Paschim Bardhaman, West Bengal, India",International Journal of Ecology and Environmental Sciences,2023,journal,10.55863/ijees.2023.3009,https://doi.org/10.55863/ijees.2023.3009,
22,"Sarkar, S., Chakrabarty, M.",Report on a least trodden trail: Backyard Biodiversity,PANCHAKOTesSAYS,2020,journal,NA,https://journal.panchakotmv.ac.in/published/paper_full_text/762051668408653.pdf,
22,"Sarkar, S., Shaw, R., Chakrabarty, M.",Comparative assessment of butterfly species in Durgapur city: a case study,The Holistic Approach to Environment,2025,journal,10.33765/thate.15.3.2,https://doi.org/10.33765/thate.15.3.2,
22,Lalitha H.M.,"A preliminary study of avifaunal diversity in the outskirts of Belagumba, Tumkur District, Karnataka",Journal of Entomology and Zoology Studies,2024,journal,10.22271/j.ento.2024.v12.i6b.9420,https://doi.org/10.22271/j.ento.2024.v12.i6b.9420,
22,"Singh, K.J., Kumar, S.D.","A study of residential status of aquatic avian diversity ofHarsi reservoir, Gwalior district, Madhya Pradesh, India",International Journal of Advanced Research in Biological Sciences,2023,journal,10.22192/ijarbs.2023.10.09.004,https://doi.org/10.22192/ijarbs.2023.10.09.004,
22,Devi Prasad A.G.,"Distribution and Diversity of Avifauna in Chamarajanagar District, Karnataka, India",Journal of Biodiversity Management & Forestry,2023,journal,10.4172/jbmf 2327-4417.10050,https://doi.org/10.4172/jbmf 2327-4417.10050,
23,"Anwar, N., Ahmad, I., Kiani, A.K., Shoaib, M., Raja, M.A.Z.",Numerical treatment for mathematical model of farming awareness in crop pest management,Frontiers in Applied Mathematics and Statistics,2023,journal,10.3389/fams.2023.1208774,https://doi.org/10.3389/fams.2023.1208774,
23,"Anwar, N., Ghaffar, A., Raja, M.A.Z., Ahmad, I., Shoaib, M., Kiani, A.K.",Stochastic supervised neuro-architecture design for analyzing vector-borne plant virus epidemics with latency and incubation effects,The Europian Physical Journal Plus,2024,journal,10.1140/epjp/s13360-024-05883-9,https://doi.org/10.1140/epjp/s13360-024-05883-9,
23,"Wacal, C., Obala, J., Agole, D., Basalirwa, D., Masereka, J., Buwa, R., Alipa, J., Ewaju, E., Andaku, J.","Determinants of adoption of improved agronomic practices of (Sesamum indicum L.) production, challenges and opportunities in Lango sub region of Northern Uganda",African journalJounal of Agricultural Research,2024,journal,10.5897/AJAR2024.16628,https://doi.org/10.5897/AJAR2024.16628,
24,"Lee, D.Y., Lee, D.S., Cha, Y., Min, J.H., Park, Y.S.",Data-driven models for predicting community changes in freshwater ecosystems: a review,Ecological Informatics,2023,journal,10.1016/j.ecoinf.2023.102163,https://doi.org/10.1016/j.ecoinf.2023.102163,
